entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
138.227,138.5647,0.04948,12890,12899,16.70886,3376.98027,take_profit
138.391,138.72895,0.04991,12903,12909,16.86666,3379.47898,take_profit
138.43,138.77153,0.04989,12917,12930,17.04075,3415.3232,take_profit
138.211,138.54564,0.04993,12986,12998,16.70752,3346.40664,take_profit
138.81,138.63476,0.04992,13015,13051,-8.7472,-1752.36847,stop_loss
138.143,138.48705,0.04534,13076,13094,15.59909,3440.50874,take_profit
138.103,138.4405,0.04577,13095,13099,15.44848,3374.95628,take_profit
138.635,138.98239,0.04898,13102,13110,17.01573,3473.8707,take_profit
138.833,139.17165,0.04992,13119,13148,16.90382,3386.51699,take_profit
139.284,139.60892,0.04993,13149,13166,16.22215,3249.19014,take_profit
139.446,139.27563,0.04992,13167,13168,-8.50468,-1703.68316,stop_loss
139.357,139.7033,0.04948,13169,13175,17.13542,3462.96186,take_profit
139.781,139.972,0.04672,13178,13184,8.92343,1910.0,model_exit
139.499,139.83799,0.04995,13189,13196,16.93232,3389.90402,take_profit
139.353,139.68927,0.04993,13256,13286,16.79104,3362.70316,take_profit
139.833,140.1602,0.04992,13287,13293,16.33361,3272.04748,take_profit
140.307,140.464,0.04992,13294,13300,7.83675,1570.0,model_exit
140.21,140.03332,0.04992,13305,13324,-8.82055,-1766.81222,stop_loss
141.059,141.41277,0.04532,13362,13364,16.03253,3537.65179,take_profit
141.318,141.66461,0.04994,13382,13388,17.30886,3466.09626,take_profit
140.485,140.30751,0.04995,13677,13694,-8.86578,-1774.88529,stop_loss
140.199,140.01686,0.04533,13704,13722,-8.25714,-1821.39297,stop_loss
139.394,139.74964,0.04536,13724,13730,16.13054,3556.36633,take_profit
139.855,140.19807,0.04629,13732,13759,15.87987,3430.65806,take_profit
140.198,140.52789,0.04995,13760,13767,16.47711,3298.8917,take_profit
140.656,140.98727,0.04991,13768,13773,16.53278,3312.73213,take_profit
139.11,138.93256,0.04988,13793,13794,-8.84968,-1774.36856,stop_loss
139.063,139.41733,0.04944,13795,13798,17.51894,3543.28881,take_profit
138.896,139.23976,0.04992,13810,13814,17.15969,3437.55962,take_profit
138.113,138.47359,0.04983,13828,13829,17.96655,3605.92308,take_profit
138.888,138.71316,0.04979,13830,13832,-8.70526,-1748.3579,stop_loss
138.791,139.15897,0.04937,13833,13837,18.16572,3679.74959,take_profit
139.513,139.33452,0.04754,13838,13839,-8.48569,-1784.84543,stop_loss
139.127,139.4936,0.04711,13840,13842,17.27041,3665.97004,take_profit
139.248,139.06977,0.0499,13855,13857,-8.89362,-1782.32925,stop_loss
139.075,139.43055,0.04947,13858,13862,17.58783,3555.53782,take_profit
140.369,140.72212,0.04851,13869,13876,17.12996,3531.15496,take_profit
140.871,141.21355,0.04995,13901,13913,17.11057,3425.48115,take_profit
141.453,141.79949,0.04991,13916,13925,17.29306,3464.94535,take_profit
141.647,141.99141,0.04992,13933,13935,17.19313,3444.09844,take_profit
142.189,142.53503,0.04992,13954,13961,17.27383,3460.31336,take_profit
142.354,142.69551,0.04994,14000,14011,17.05529,3415.0708,take_profit
142.728,143.06006,0.04992,14012,14053,16.57795,3320.57483,take_profit
142.876,143.22282,0.04992,14097,14108,17.31473,3468.20455,take_profit
142.338,142.68528,0.04992,14135,14140,17.33476,3472.81903,take_profit
142.768,143.11481,0.04992,14142,14151,17.31385,3468.0892,take_profit
143.194,143.53005,0.04991,14152,14213,16.7734,3360.46038,take_profit
142.293,142.526,0.0499,14255,14261,11.62747,2330.0,model_exit
141.862,142.20463,0.04993,14442,14447,17.10814,3426.27786,take_profit
142.536,142.8773,0.04994,14483,14487,17.04539,3412.95344,take_profit
143.088,143.155,0.04992,14488,14504,3.34489,670.0,model_exit
143.783,144.12846,0.04994,14723,14729,17.25228,3454.56784,take_profit
144.138,144.49035,0.04991,14731,14745,17.58599,3523.46168,take_profit
144.516,144.63135,0.04994,14818,14827,5.76059,1153.46378,stop_loss
