time,open,high,low,close,tick_volume,spread,real_volume
2023-06-05 20:00:00,139.713,139.814,139.69,139.742,690,0,0
2023-06-05 20:15:00,139.744,139.794,139.739,139.781,529,2,0
2023-06-05 20:30:00,139.782,139.783,139.706,139.734,620,2,0
2023-06-05 20:45:00,139.732,139.758,139.732,139.756,395,2,0
2023-06-05 21:00:00,139.756,139.767,139.711,139.736,508,2,0
2023-06-05 21:15:00,139.737,139.739,139.665,139.678,476,2,0
2023-06-05 21:30:00,139.678,139.682,139.593,139.649,595,2,0
2023-06-05 21:45:00,139.649,139.649,139.544,139.622,803,2,0
2023-06-05 22:00:00,139.622,139.638,139.592,139.613,824,2,0
2023-06-05 22:15:00,139.614,139.614,139.485,139.497,491,2,0
2023-06-05 22:30:00,139.497,139.56,139.478,139.557,363,2,0
2023-06-05 22:45:00,139.557,139.558,139.517,139.548,283,2,0
2023-06-05 23:00:00,139.548,139.579,139.537,139.57,297,3,0
2023-06-05 23:15:00,139.57,139.57,139.517,139.525,227,5,0
2023-06-05 23:30:00,139.526,139.602,139.524,139.567,343,8,0
2023-06-05 23:45:00,139.565,139.586,139.549,139.563,328,12,0
2023-06-06 00:00:00,139.569,139.569,139.376,139.48,20,36,0
2023-06-06 00:15:00,139.507,139.525,139.499,139.507,73,21,0
2023-06-06 00:30:00,139.507,139.582,139.497,139.535,153,3,0
2023-06-06 00:45:00,139.535,139.547,139.518,139.531,72,19,0
2023-06-06 01:00:00,139.531,139.58,139.504,139.556,265,10,0
2023-06-06 01:15:00,139.556,139.594,139.541,139.563,285,10,0
2023-06-06 01:30:00,139.563,139.574,139.491,139.523,370,9,0
2023-06-06 01:45:00,139.523,139.529,139.447,139.449,377,3,0
2023-06-06 02:00:00,139.45,139.451,139.357,139.402,482,2,0
2023-06-06 02:15:00,139.403,139.454,139.369,139.445,405,2,0
2023-06-06 02:30:00,139.445,139.478,139.354,139.362,533,2,0
2023-06-06 02:45:00,139.362,139.413,139.32,139.413,589,2,0
2023-06-06 03:00:00,139.413,139.501,139.376,139.458,1034,2,0
2023-06-06 03:15:00,139.459,139.517,139.429,139.477,652,2,0
